2025/12/03 10:39:05 Started
2025/12/03 10:39:05 Database connected
2025/12/03 10:39:06 Database initialized
2025/12/03 10:39:06 Routers initialized
2025/12/03 10:39:06 Admin created
2025/12/03 10:39:06 Initialized
2025/12/03 11:21:25 Loggin [Admin]
2025/12/03 11:21:33 WorkTimes GET [admin]
2025/12/03 11:21:59 Users GET [admin]
2025/12/03 11:22:20 Roles GET [admin]
2025/12/03 11:22:22 Permissions GET [admin]
2025/12/03 11:22:31 Role POST [admin]
2025/12/03 11:22:32 Roles GET [admin]
2025/12/03 11:22:35 Users GET [admin]
2025/12/03 11:22:36 User GET [admin]
2025/12/03 11:24:58 WorkTimes GET [admin]
2025/12/03 11:25:00 Orders GET [admin]
2025/12/03 11:25:03 Users GET [admin]
2025/12/03 11:25:04 Roles GET [admin]
2025/12/03 11:25:05 Logs GET [admin]
